Memory,Total_CPU_Capacity_MHz,CPUs_VM_Access,Count,Category
0.5,0.0,0,1,Category 1
0.5,1995.31,1,4,Category 2
0.5,2095.08,1,36,Category 3
0.5,2100.0,1,6,Category 4
0.5,2194.84,1,4,Category 5
0.5,2494.22,1,2,Category 6
0.5,2497.11,1,2,Category 7
0.5,3990.62,2,1,Category 8
0.5,4190.16,2,2,Category 9
0.5,4988.45,2,2,Category 10
1.0,1995.31,1,16,Category 11
1.0,2095.08,1,40,Category 12
1.0,2100.0,1,29,Category 13
1.0,2194.84,1,8,Category 14
1.0,2596.99,1,1,Category 15
1.0,2600.0,1,1,Category 16
1.5,1995.31,1,2,Category 17
1.95,2095.08,1,1,Category 18
2.0,1995.31,1,62,Category 19
2.0,2095.08,1,113,Category 20
2.0,2100.0,1,55,Category 21
2.0,2194.84,1,24,Category 22
2.0,2294.47,1,3,Category 23
2.0,2294.61,1,1,Category 24
2.0,2494.22,1,8,Category 25
2.0,2494.23,1,3,Category 26
2.0,2497.11,1,7,Category 27
2.0,2500.0,1,2,Category 28
2.0,2600.0,1,2,Category 29
2.0,2992.97,1,2,Category 30
2.0,3990.62,2,31,Category 31
2.0,4190.16,2,407,Category 32
2.0,4200.0,2,13,Category 33
2.0,7981.25,4,5,Category 34
2.0,8380.31,4,39,Category 35
2.0,8399.99,4,3,Category 36
2.21,2100.0,1,1,Category 37
2.25,1995.31,1,7,Category 38
2.25,2095.08,1,18,Category 39
2.25,2100.0,1,1,Category 40
3.0,1995.31,1,2,Category 41
3.0,2095.08,1,61,Category 42
3.0,15962.5,8,2,Category 43
3.0,16760.62,8,4,Category 44
3.0,16799.99,8,2,Category 45
3.0,18355.77,8,1,Category 46
3.0,19953.79,8,1,Category 47
3.0,19976.86,8,1,Category 48
4.0,1995.31,1,2,Category 49
4.0,2095.08,1,23,Category 50
4.0,2100.0,1,9,Category 51
4.0,2294.47,1,1,Category 52
4.0,2992.97,1,2,Category 53
4.0,3491.8,1,24,Category 54
4.0,3990.62,2,94,Category 55
4.0,4190.16,2,431,Category 56
4.0,4200.0,2,60,Category 57
4.0,4389.69,2,18,Category 58
4.0,4988.45,2,3,Category 59
4.0,4994.22,2,1,Category 60
4.0,5000.0,2,13,Category 61
4.0,5200.0,2,4,Category 62
4.0,5985.94,3,3,Category 63
4.0,6299.99,3,1,Category 64
4.0,7981.25,4,4,Category 65
4.0,8380.31,4,16,Category 66
4.0,8399.99,4,24,Category 67
4.0,8779.37,4,22,Category 68
4.0,9976.9,4,11,Category 69
4.0,9988.43,4,11,Category 70
4.0,16760.62,8,5,Category 71
4.0,16799.98,8,1,Category 72
4.0,16799.99,8,2,Category 73
4.0,33521.24,16,1,Category 74
5.0,4190.16,2,2,Category 75
5.0,4200.0,2,2,Category 76
5.0,6983.59,2,35,Category 77
5.0,7183.12,2,6,Category 78
5.0,8978.9,3,4,Category 79
5.0,8978.91,3,10,Category 80
5.0,10000.0,4,1,Category 81
6.0,2100.0,1,10,Category 82
6.0,2596.99,1,1,Category 83
6.0,3591.56,1,674,Category 84
6.0,3990.62,2,4,Category 85
6.0,4190.16,2,13,Category 86
6.0,4788.46,2,5,Category 87
6.0,4788.75,2,3,Category 88
6.0,5000.0,2,1,Category 89
6.0,5187.81,2,6,Category 90
6.0,5193.98,2,6,Category 91
6.0,7482.67,3,2,Category 92
6.0,8380.31,4,3,Category 93
6.0,8399.99,4,19,Category 94
6.0,10400.0,4,4,Category 95
6.0,11971.87,4,1,Category 96
6.0,12570.47,6,1,Category 97
6.0,12599.99,6,7,Category 98
6.0,15962.5,8,2,Category 99
6.0,16760.62,8,4,Category 100
6.0,16799.98,8,2,Category 101
6.0,16799.99,8,1,Category 102
6.0,18355.77,8,1,Category 103
6.0,19953.79,8,1,Category 104
6.0,19976.86,8,1,Category 105
7.0,8380.31,4,1,Category 106
7.64,17957.81,6,6,Category 107
7.91,4190.16,2,4,Category 108
8.0,1995.31,1,7,Category 109
8.0,2095.08,1,5,Category 110
8.0,2294.61,1,2,Category 111
8.0,3990.38,2,2,Category 112
8.0,3990.62,2,114,Category 113
8.0,4190.16,2,246,Category 114
8.0,4200.0,2,73,Category 115
8.0,4394.91,2,133,Category 116
8.0,4400.0,2,43,Category 117
8.0,4589.22,2,22,Category 118
8.0,4988.45,2,1,Category 119
8.0,4994.22,2,6,Category 120
8.0,5000.0,2,5,Category 121
8.0,5985.94,2,204,Category 122
8.0,6285.23,3,2,Category 123
8.0,6299.99,3,1,Category 124
8.0,7183.12,2,98,Category 125
8.0,7482.67,3,1,Category 126
8.0,7491.32,3,2,Category 127
8.0,7980.77,4,1,Category 128
8.0,7981.25,4,163,Category 129
8.0,8380.31,4,535,Category 130
8.0,8390.28,4,1,Category 131
8.0,8399.99,4,132,Category 132
8.0,9177.88,4,1,Category 133
